cow period  sample drying dmrem    cprem
2530     3       9      2 0.221705 0.089818
2524     2      10      2 0.215411 0.110114
2541     2      10      2 0.239451 0.110290
2530     2      10      2 0.256893 0.118324
2524     2      11      2 0.227614 0.120938
2541     2      11      2 0.229888 0.120741
2530     2      11      2 0.310030 0.172151
2524     2      12      2 0.266213 0.160902
2541     2      12      2 0.271573 0.162544
2530     2      12      2 0.328243 0.219311
2524     2      13      2 0.258111 0.098295
2541     2      13      2 0.250416 0.104887
2530     2      13      2 0.262477 0.111626
2524     2      14      2 0.335614 0.203225
2541     2      14      2 0.321482 0.196987
2530     2      14      2 0.322233 0.202098
2524     2      15      2 0.188730 0.089142
2541     2      15      2 0.222558 0.105120
2530     2      15      2 0.197624 0.091211
2524     2      16      2 0.238071 0.121824
2541     2      16      2 0.245461 0.129086
2530     2      16      2 0.266416 0.130415
2524     2      17      2 0.248568 0.118726
2541     2      17      2 0.240223 0.113324
2530     2      17      2 0.251796 0.115814
2524     2      18      2    NA       NA
2541     2      18      2 0.312142 0.164047
2530     2      18      2 0.271187 0.139516
2524     2      19      2 0.188243 0.094766
2541     2      19      2 0.194741 0.096970
2530     2      19      2 0.225035 0.121821
2524     1      20      2 0.350152 0.186747
2541     1      20      2 0.394578 0.210441
2530     1      20      2 0.399736 0.210592
2524     1      21      2 0.259309 0.109386
2541     1      21      2 0.310862 0.136516
2530     1      21      2 0.264406 0.113062
2524     1      22      2 0.244588 0.098587
2541     1      22      2 0.260690 0.100826
2530     1      22      2 0.315979 0.132664
2524     1      23      2 0.257847 0.141486
2541     1      23      2 0.280629 0.129718
2530     1      23      2 0.309705 0.152023
2524     1      24      2 0.401543 0.262939
2541     1      24      2 NA NA
2530     1      24      2 0.360791 0.221806
2524     1      25      2 0.268690 0.130462
2541     1      25      2 0.268710 0.135555
2530     1      25      2 0.246213 0.122653
2524     1      26      2 0.257543 0.119018
2541     1      26      2 0.232304 0.101139
2530     1      26      2    NA       NA
2524     1      27      2 0.256710 0.112931
2541     1      27      2 0.255350 0.106143
2530     1      27      2 0.298233 0.125814
2524     1      28      2 0.253482 0.123396
2541     1      28      2 0.283370 0.143762
2530     1      28      2 0.292406 0.148346
2524     1      29      2 0.222375 0.105617
2541     1      29      2 0.272060 0.145435
2530     1      29      2 0.232893 0.112012
2524     1      30      2 0.268365 0.135839
2541     1      30      2 0.285076 0.140778
2530     1      30      2 0.289543 0.148346
2524     3       1      3 0.302274 0.149824
2541     3       1      3 0.333644 0.156678
2530     3       1      3 0.350010 0.173484
2524     3       2      3 0.254558 0.122188
2541     3       2      3 0.303086 0.138176
2530     3       2      3 0.299756 0.131124
2524     3       3      3 0.209746 0.084729
2541     3       3      3 0.255756 0.114507
2530     3       3      3 0.220487 0.090287
2524     3       4      3 0.255431 0.109021
2541     3       4      3 0.283390 0.130485
2530     3       4      3 0.292345 0.129623
2524     3       5      3 0.247269 0.096906
2541     3       5      3 0.273177 0.118251
2530     3       5      3 0.254903 0.102917
2524     3       6      3 0.258883 0.143425
2541     3       6      3 0.381908 0.175064
2530     3       6      3 0.366314 0.167916
2524     3       7      3 0.369847 0.202957
2541     3       7      3 0.384467 0.210980
2530     3       7      3 0.379208 0.222823
2524     3       8      3 0.291593 0.147556
2541     3       8      3 0.369522 0.189050
2530     3       8      3 0.305279 0.157883
2524     3       9      3 0.225624 0.094579
2541     3       9      3 0.287106 0.114025
2530     3       9      3 0.202395 0.083727
2524     2      10      3 0.222578 0.114180
2541     2      10      3 0.225786 0.103634
2530     2      10      3 0.220588 0.106529
2524     2      11      3 0.219167 0.108565
2541     2      11      3 0.201319 0.100971
2530     2      11      3 0.266822 0.132172
2524     2      12      3 0.238538 0.122155
2541     2      12      3 0.273218 0.164423
2530     2      12      3 0.289807 0.171105
2524     2      13      3 0.254192 0.102787
2541     2      13      3 NA NA
2530     2      13      3 0.281847 0.119225
2524     2      14      3 0.328913 0.187615
2541     2      14      3 0.297563 0.184408
2530     2      14      3 0.348263 0.206102
2524     2      15      3 0.247857 0.108699
2541     2      15      3 0.224385 0.097175
2530     2      15      3 0.220934 0.094469
2524     2      16      3 0.247086 0.116667
2541     2      16      3 0.266781 0.118621
2530     2      16      3 0.317116 0.154192
2524     2      17      3 0.246071 0.107024
2541     2      17      3 0.251857 0.111019
2530     2      17      3 0.270355 0.119173
2524     2      18      3 0.265543 0.129304
2541     2      18      3 0.262761 0.130999
2530     2      18      3 0.293401 0.141309
2524     2      19      3 0.175350 0.084904
2541     2      19      3 0.276487 0.163283
2530     2      19      3 0.220994 0.121266
2524     1      20      3 0.405644 0.217801
2541     1      20      3 0.388994 0.208861
2530     1      20      3 0.353807 0.182911
2524     1      21      3 0.276974 0.095123
2541     1      21      3 0.258294 0.099694
2530     1      21      3 0.264771 0.095126
2524     1      22      3 0.326213 0.139123
2541     1      22      3    NA       NA
2530     1      22      3 0.291126 0.132685
2524     1      23      3 0.305644 0.136220
2541     1      23      3 0.318842 0.135363
2530     1      23      3 0.275532 0.120859
2524     1      24      3 0.349258 0.194690
2541     1      24      3 0.275065 0.142649
2530     1      24      3 0.293197 0.153977
2524     1      25      3 0.249177 0.102580
2541     1      25      3 0.281888 0.122714
2530     1      25      3 0.273604 0.117455
2524     1      26      3 0.268527 0.120781
2541     1      26      3 0.261116 0.117448
2530     1      26      3 0.264203 0.114435
2524     1      27      3 0.304162 0.134440
2541     1      27      3    NA       NA
2530     1      27      3 0.278538 0.114717
2524     1      28      3 0.262558 0.121902
2541     1      28      3 0.277238 0.130634
2530     1      28      3 0.305725 0.146170
2524     1      29      3 0.196324 0.086329
2541     1      29      3 0.267654 0.126969
2530     1      29      3 0.235898 0.102349
2524     1      30      3 0.242395 0.115324
2541     1      30      3 0.246659 0.113007
2530     1      30      3 0.241238 0.121741
