cow period  sample drying dmrem    cprem
2524     3       1      1 0.296385 0.143340
2541     3       1      1 0.318619 0.162131
2530     3       1      1 0.339776 0.179463
2524     3       2      1 0.243715 0.113774
2541     3       2      1 0.251634 0.123495
2530     3       2      1 0.265583 0.141335
2524     3       3      1 0.191817 0.089967
2541     3       3      1 0.195411 0.089559
2530     3       3      1 0.222619 0.103273
2524     3       4      1 0.243939 0.105740
2541     3       4      1 0.246152 0.114690
2530     3       4      1 0.280609 0.135364
2524     3       5      1 0.231654 0.099593
2541     3       5      1 0.249949 0.104601
2530     3       5      1 0.254192 0.110798
2524     3       6      1 0.273035 0.148213
2541     3       6      1 0.290720 0.155237
2530     3       6      1 0.391228 0.198503
2524     3       7      1 0.344771 0.228914
2541     3       7      1 0.361461 0.198334
2530     3       7      1 0.387796 0.235133
2524     3       8      1 0.284548 0.140838
2541     3       8      1 0.305746 0.151330
2530     3       8      1 0.316162 0.151264
2524     3       9      1 0.317258 0.175000
2541     3       9      1 0.204548 0.087317
2530     3       9      1 0.218192 0.090841
2524     2      10      1 0.378538 0.238561
2541     2      10      1 0.252994 0.141586
2530     2      10      1 0.157664 0.081261
2524     2      11      1 0.247796 0.123448
2541     2      11      1      0.4 0.250960
2530     2      11      1 0.246375 0.125808
2524     2      12      1 0.260385 0.138112
2541     2      12      1 0.279472 0.157891
2530     2      12      1 0.307329 0.195016
2524     2      13      1    NA       NA
2541     2      13      1 0.315390 0.145345
2530     2      13      1 0.325482 0.158319
2524     2      14      1 0.306741 0.182396
2541     2      14      1 0.429482 0.264355
2530     2      14      1 0.384406 0.255658
2524     2      15      1 0.279593 0.155654
2541     2      15      1 0.443045 0.301531
2530     2      15      1 0.292304 0.162730
2524     2      16      1 0.300913 0.127376
2541     2      16      1 0.263736 0.124415
2530     2      16      1 0.299512 0.159601
2524     2      17      1 0.261502 0.131124
2541     2      17      1    NA       NA
2530     2      17      1 0.255329 0.123660
2524     2      18      1 0.267532 0.139263
2541     2      18      1 0.269421 0.131210
2530     2      18      1 0.262335 0.138044
2524     2      19      1 0.215573 0.120473
2541     2      19      1 0.221299 0.121386
2530     2      19      1 0.270294 0.165503
2524     1      20      1    NA       NA
2541     1      20      1 0.402111 0.234652
2530     1      20      1 0.380588 0.217707
2524     1      21      1 0.239208 0.101174
2541     1      21      1 0.265380 0.126514
2530     1      21      1 0.259634 0.111221
2524     1      22      1 0.271939 0.166762
2541     1      22      1 0.213177 0.109469
2530     1      22      1 0.241218 0.123868
2524     1      23      1 0.303329 0.142980
2541     1      23      1 0.322436 0.163647
2530     1      23      1 0.319390 0.157481
2524     1      24      1 0.372162 0.246544
2541     1      24      1 0.310436 0.187452
2530     1      24      1 0.371512 0.243671
2524     1      25      1 0.220974 0.112612
2541     1      25      1 0.295776 0.156120
2530     1      25      1 0.256060 0.129067
2524     1      26      1 0.237482 0.117875
2541     1      26      1 0.314477 0.183301
2530     1      26      1 0.265928 0.134902
2524     1      27      1     0.26 0.117415
2541     1      27      1 0.266558 0.126827
2530     1      27      1 0.269705 0.126797
2524     1      28      1 0.288446 0.167085
2541     1      28      1 0.298152 0.170575
2530     1      28      1 0.298274 0.172778
2524     1      29      1 0.198071 0.104902
2541     1      29      1 0.246172 0.127411
2530     1      29      1 0.272203 0.142523
2524     1      30      1 0.272203 0.134510
2541     1      30      1 0.331736 0.175902
2530     1      30      1 0.318030 0.168635
2524     3       1      2 0.325705 0.159620
2541     3       1      2 0.368730 0.187821
2530     3       1      2 0.449705 0.249643
2524     3       2      2 0.232852 0.104900
2541     3       2      2 0.248771 0.112071
2530     3       2      2 0.225989 0.115141
2524     3       3      2 0.204670 0.087688
2541     3       3      2 0.271045 0.134187
2530     3       3      2 0.225725 0.096709
2524     3       4      2 0.244345 0.103328
2541     3       4      2 0.263675 0.114312
2530     3       4      2 0.323654 0.154556
2524     3       5      2 0.227208 0.091245
2541     3       5      2 0.230923 0.094118
2530     3       5      2    NA       NA
2524     3       6      2    NA       NA
2541     3       6      2 0.301989 0.134479
2530     3       6      2 0.328284    NA
2524     3       7      2 0.365035 0.198842
2541     3       7      2 0.391634 0.235738
2530     3       7      2 0.410395 0.211646
2524     3       8      2 0.303532 0.141442
2541     3       8      2 0.303756 0.148293
2530     3       8      2 0.346091 0.161274
2524     3       9      2 0.186883 0.074702
2541     3       9      2 0.215532 0.086155
